"Name","Id","CPU","Memory","Path"
"Notion","15140","0.0625",,"C:\Users\jhg56\AppData\Local\Programs\Notion\Notion.exe"
"OfficeClickToRun","6032",,,
"OneApp.IGCC.WinService","4164",,,
"OpenConsole","17052","0.046875",,"C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\OpenConsole.exe"
"pageant","9388","0.03125",,"C:\Program Files\PuTTY\pageant.exe"
"PhoneExperienceHost","9692","0.46875",,"C:\Program Files\WindowsApps\Microsoft.YourPhone_1.25072.79.0_x64__8wekyb3d8bbwe\PhoneExperienceHost.exe"
"powershell","1180","0.546875",,"C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe"
"powershell","7040","3.640625",,"C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe"
"powershell","12176","0.21875",,"C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe"
"powershell","17116","0.296875",,"C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe"
"powershell","17316","0.40625",,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"
"PowerToys","10684","0.25",,"C:\Users\jhg56\AppData\Local\PowerToys\PowerToys.exe"
"PowerToys.AdvancedPaste","9380","0.171875",,"C:\Users\jhg56\AppData\Local\PowerToys\WinUI3Apps\PowerToys.AdvancedPaste.exe"
"PowerToys.AlwaysOnTop","11576","1.359375",,"C:\Users\jhg56\AppData\Local\PowerToys\PowerToys.AlwaysOnTop.exe"
"PowerToys.Awake","11616","0.203125",,"C:\Users\jhg56\AppData\Local\PowerToys\PowerToys.Awake.exe"
"PowerToys.ColorPickerUI","11700","0.515625",,"C:\Users\jhg56\AppData\Local\PowerToys\PowerToys.ColorPickerUI.exe"
"PowerToys.CropAndLock","11724","0.046875",,"C:\Users\jhg56\AppData\Local\PowerToys\PowerToys.CropAndLock.exe"
"PowerToys.FancyZones","11780","0.453125",,"C:\Users\jhg56\AppData\Local\PowerToys\PowerToys.FancyZones.exe"
"PowerToys.KeyboardManagerEngine","11852","0.0625",,"C:\Users\jhg56\AppData\Local\PowerToys\KeyboardManagerEngine\PowerToys.KeyboardManagerEngine.exe"
"PowerToys.Peek.UI","11896","0.625",,"C:\Users\jhg56\AppData\Local\PowerToys\WinUI3Apps\PowerToys.Peek.UI.exe"
"PowerToys.PowerLauncher","11960","22.875",,"C:\Users\jhg56\AppData\Local\PowerToys\PowerToys.PowerLauncher.exe"
"PresentationFontCache","8248",,,
"QAAdminAgent","13584",,,
"QAAgent","13464","0.046875",,"C:\Program Files\Acer\Quick Access Service\QAAgent.exe"
"QASvc","13316",,,
"Registry","140",,,
"RstMwService","4472",,,
"RtkAudUService64","4464",,,
"RuntimeBroker","4356","0",,"C:\Windows\System32\RuntimeBroker.exe"
"RuntimeBroker","8500","3.46875",,"C:\Windows\System32\RuntimeBroker.exe"
"RuntimeBroker","9220","0.15625",,"C:\Windows\System32\RuntimeBroker.exe"
"RuntimeBroker","10840","0.21875",,"C:\Windows\System32\RuntimeBroker.exe"
"RuntimeBroker","12932","0",,"C:\Windows\System32\RuntimeBroker.exe"
"SearchHost","10124","14.578125",,"C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe"
"SearchIndexer","1072",,,
"services","1008",,,
"SgrmBroker","7352",,,
"ShellExperienceHost","6840","0.6875",,"C:\WINDOWS\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe"
"sihost","8124","2.359375",,"C:\WINDOWS\system32\sihost.exe"
"smartscreen","11104","0",,"C:\Windows\System32\smartscreen.exe"
"smss","572",,,
"spoolsv","3684",,,
"Spotify","2380","466.40625",,"C:\Users\jhg56\AppData\Roaming\Spotify\Spotify.exe"
"Spotify","3528","134.34375",,"C:\Users\jhg56\AppData\Roaming\Spotify\Spotify.exe"
"Spotify","13048","0",,"C:\Users\jhg56\AppData\Roaming\Spotify\Spotify.exe"
"Spotify","14524","4.5",,"C:\Users\jhg56\AppData\Roaming\Spotify\Spotify.exe"
"Spotify","14732","1.1875",,"C:\Users\jhg56\AppData\Roaming\Spotify\Spotify.exe"
"Spotify","14932","0.109375",,"C:\Users\jhg56\AppData\Roaming\Spotify\Spotify.exe"
"Spotify","15680","291.03125",,"C:\Users\jhg56\AppData\Roaming\Spotify\Spotify.exe"
"sqlwriter","4484",,,
"StartMenuExperienceHost","10036","1.390625",,"C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe"
"StorPSCTL","11364","0.125",,
"svchost","852",,,
"svchost","968",,,
"svchost","1032",,,
"svchost","1164",,,
"svchost","1220",,,
"svchost","1652",,,
"svchost","1736",,,
"svchost","1752",,,
"svchost","1760",,,
"svchost","1792",,,
"svchost","1800",,,
"svchost","1804",,,
"svchost","1816",,,
"svchost","1920",,,
"svchost","2020",,,
"svchost","2032",,,
"svchost","2224",,,
"svchost","2304",,,
"svchost","2316",,,
"svchost","2488",,,
"svchost","2512",,,
"svchost","2608",,,
"svchost","2804",,,
"svchost","2900",,,
"svchost","2944",,,
"svchost","2964",,,
"svchost","3012",,,
"svchost","3216",,,
"svchost","3244",,,
"svchost","3252",,,
"svchost","3284",,,
"svchost","3320",,,
"svchost","3324",,,
"svchost","3432",,,
