"IPAddress","LinkLayerAddress","State","InterfaceAlias"
"2606:4700:20::681a:485","","Stale","Hetzner"
"2606:4700:10::ac42:9a31","","Unreachable","Hetzner"
"2606:4700:10::6814:11cb","","Unreachable","Hetzner"
"2606:4700:7::a29f:8aea","","Unreachable","Hetzner"
"2606:4700:7::a29f:89ea","","Unreachable","Hetzner"
"2606:4700:7::a29f:82eb","","Unreachable","Hetzner"
"2606:4700:7::a29f:81eb","","Stale","Hetzner"
"2606:4700:7::a29f:80eb","","Unreachable","Hetzner"
"2606:4700:7::175","","Unreachable","Hetzner"
"2606:4700::6812:1dea","","Unreachable","Hetzner"
"2606:4700::6812:1cea","","Unreachable","Hetzner"
"2604:1380:45f1:e200::1","","Stale","Hetzner"
"2603:1063:2001:2c03::365:ff1","","Stale","Hetzner"
"2603:1063:2001:2c02::365:ff1","","Stale","Hetzner"
"2603:1063:2001:2c01::365:ff1","","Stale","Hetzner"
"2603:1063:2001:2c00::365:ff1","","Stale","Hetzner"
"2603:1063:27:2::14","","Stale","Hetzner"
"2603:1063:27:1::14","","Stale","Hetzner"
"2603:1063:21:182::365:7ea3","","Stale","Hetzner"
"2603:1063:21:17b::365:7ea3","","Stale","Hetzner"
"2603:1063:21:178::365:7ea3","","Stale","Hetzner"
"2603:1063:21:16a::365:7ea3","","Stale","Hetzner"
"2603:1063:21:169::365:7ea3","","Unreachable","Hetzner"
"2603:1063:21:168::365:7ea3","","Stale","Hetzner"
"2603:1063:21:15d::365:7ea3","","Unreachable","Hetzner"
"2603:1063:21:154::365:7ea3","","Stale","Hetzner"
"2603:1063:21:153::365:7ea3","","Stale","Hetzner"
"2603:1063:21:14d::365:7ea3","","Stale","Hetzner"
"2603:1063:21:14c::365:7ea3","","Stale","Hetzner"
"2603:1063:21:14a::365:7ea3","","Unreachable","Hetzner"
"2603:1063:21:148::365:7ea3","","Stale","Hetzner"
"2603:1063:21:147::365:7ea3","","Stale","Hetzner"
"2603:1063:21:140::365:7ea3","","Stale","Hetzner"
"2603:1063:21:13f::365:7ea3","","Unreachable","Hetzner"
"2603:1063:21:139::365:7ea3","","Stale","Hetzner"
"2603:1063:21:133::365:7ea3","","Stale","Hetzner"
"2603:1063:21:12b::365:7ea3","","Unreachable","Hetzner"
"2603:1063:21:129::365:7ea3","","Stale","Hetzner"
"2603:1063:21:125::365:7ea3","","Stale","Hetzner"
"2603:1063:21:11e::365:7ea3","","Unreachable","Hetzner"
"2603:1063:21:11c::365:7ea3","","Stale","Hetzner"
"2603:1063:21:119::365:7ea3","","Stale","Hetzner"
